Location,number of strikes
Kiryat Shmona,151
Metulla,101
Margaliyyot,100
Menara,91
Shetula,83
Shlomi,64
Malkiyya,62
Zarit,61
Aramsha,61
Yiftah,49
Hanita,44
Avivim,38
Misgav Am,37
Shomera,37
Beit Hillel,32
Rosh HaNikra,30
Dovev,27
Biranit,25
Mattat,25
Nahariyya,24
Baram,23
Mount Meron Base,23
Adamit,22
Safed,21
Ramot Naftali,20
Yaara,20
Yiron,18
Elon,18
Snir,17
Kefar Blum,16
Maayan Baruch,15
Kefar Giladi,15
Dishon,13
Dafna,13
Goren,13
Even Menahem,12
Akko,12
Kabri,11
HaGoshrim,11
Sasa,10
Meron,9
Avdon,8
Haifa,8
Hurfeish,8
Kefar Yuval,8
Ayelet HaShahar,8
Biriya,7
Gaaton,7
Kefar Szold,6
Betzet,5
Ein Zeitim Base,5
Elkosh,5
Dalton,5
Maalot,5
Zomet Gome,4
Emeq HaHula,4
Coast of Akko,4
Tiberias,4
Fassuta,4
Kefar Hoshen,4
Yesud HaMaala,3
Gornot HaGalil,3
Matzuva,3
Amir,3
Manot,3
Beit Hillel Base,3
Kiryat Ata,3
Birkat Risha,3
Neot Mordechai,3
Amuka,3
Beit Jann,3
Amiad,3
Eastern Mediterranean Sea,3
Har Addir,2
Zomet Golani,2
Tzuriel,2
Gonen,2
Tzivon,2
Lehavot HaBashan,2
Rosh Pinna,2
Klil,2
Kadita,2
Hazor HaGlilit,2
Mahanayim,2
Abirim,2
Misgav,2
Kefar Weradim,2
Jish,2
Bustan HaGalil,2
Afula,1
Qiryat Bialik,1
En HaMifraz,1
Kefar Masaryk,1
Hula Nature Reserve,1
Iqrit,1
Har Manor,1
Sde Eliezer,1
Nahal Betset,1
Zomet Yesud HaMaala,1
Nazareth,1
Kefar Tavor,1
Yirka,1
Julis,1
Hadera,1
Coast of Haifa,1
Arbel,1
Shefer,1
Shamir,1
Yuvallim,1
Sakhnin,1
Ein Yaakov,1
Migdal Tefen,1
Dan,1
Glilot Base,1
Gaaton Base,1
Hulata,1
Gadot,1
Gesher HaZiv,1
Mishmar HaYarden,1
Shaykh Danun,1
Amnon,1
Zomet Koach,1
Hila,1
El Mazraa,1
Lohame HaGetaot,1
Kefar Zeitim,1
Hazorim,1
Huqoq,1
Kidmat Galil,1
Lavi,1
Kafr Kanna,1
Shefaram,1
